"Plot","Entry","Name","Rep","Expt","Location","Year","PlantingDate","DTE","DTF","DTF2","DTS","DTM","ExptShort","DTF2_scaled","RDTF","VEG","REP","T_mean","P_mean","Predicted_DTF"
5502,2,"CDC Rosie AGL","2","Bhopal, India 2016","Bhopal, India","2016",2016-12-04,6,69,69,NA,NA,"In16",3.74074074074074,0.014493,63,NA,17.6,10.9,106.155424689268
1053,2,"CDC Rosie AGL","1","Bhopal, India 2017","Bhopal, India","2017",2017-11-09,4,75,75,NA,NA,"In17",4.14893617021277,0.013333,71,NA,20.6,10.7,103.431122495318
2396,2,"CDC Rosie AGL","1","Marchouch, Morocco 2016","Marchouch, Morocco","2016",2016-11-21,10,128,128,142,157,"Mo16",4.07246376811594,0.007812,118,29,12,10.8,123.426786783257
2533,2,"CDC Rosie AGL","2","Marchouch, Morocco 2016","Marchouch, Morocco","2016",2016-11-21,11,128,128,142,157,"Mo16",4.07246376811594,0.007812,117,29,12,10.8,123.426786783257
3008,2,"CDC Rosie AGL","3","Marchouch, Morocco 2016","Marchouch, Morocco","2016",2016-11-21,11,128,128,143,157,"Mo16",4.07246376811594,0.007812,117,29,12,10.8,123.426786783257
1250,2,"CDC Rosie AGL","1","Marchouch, Morocco 2017","Marchouch, Morocco","2017",2017-12-21,16,120,120,136,166,"Mo17",3.56716417910448,0.008333,104,46,11.8,11.5,117.259989488864
1435,2,"CDC Rosie AGL","2","Marchouch, Morocco 2017","Marchouch, Morocco","2017",2017-12-21,16,117,117,140,168,"Mo17",3.38805970149254,0.008547,101,51,11.8,11.5,117.259989488864
1776,2,"CDC Rosie AGL","3","Marchouch, Morocco 2017","Marchouch, Morocco","2017",2017-12-21,16,117,117,140,166,"Mo17",3.38805970149254,0.008547,101,49,11.8,11.5,117.259989488864
383,2,"CDC Rosie AGL","1","Jessore, Bangladesh 2016","Jessore, Bangladesh","2016",2016-11-15,6,89,89,NA,NA,"Ba16",4.11111111111111,0.011236,83,NA,18.6,10.8,103.351993384215
443,2,"CDC Rosie AGL","2","Jessore, Bangladesh 2016","Jessore, Bangladesh","2016",2016-11-15,7,90,90,NA,NA,"Ba16",4.16666666666667,0.011111,83,NA,18.6,10.8,103.351993384215
1008,2,"CDC Rosie AGL","3","Jessore, Bangladesh 2016","Jessore, Bangladesh","2016",2016-11-15,6,88,88,NA,NA,"Ba16",4.05555555555556,0.011364,82,NA,18.6,10.8,103.351993384215
291,2,"CDC Rosie AGL","1","Jessore, Bangladesh 2017","Jessore, Bangladesh","2017",2017-12-03,7,89,89,NA,NA,"Ba17",3.88524590163934,0.011236,82,NA,21.7,11,90.8873992345322
342,2,"CDC Rosie AGL","2","Jessore, Bangladesh 2017","Jessore, Bangladesh","2017",2017-12-03,7,86,86,NA,NA,"Ba17",3.68852459016393,0.011628,79,NA,21.7,11,90.8873992345322
787,2,"CDC Rosie AGL","3","Jessore, Bangladesh 2017","Jessore, Bangladesh","2017",2017-12-03,6,83,83,NA,NA,"Ba17",3.49180327868852,0.012048,77,NA,21.7,11,90.8873992345322
2417,2,"CDC Rosie AGL","2","Central Ferry, USA 2018","Central Ferry, USA","2018",2018-03-29,18,66,66,82,99,"Us18",3.66666666666667,0.015152,48,33,15.8,14.3,69.6441586211692
2882,2,"CDC Rosie AGL","3","Central Ferry, USA 2018","Central Ferry, USA","2018",2018-03-29,8,70,70,NA,NA,"Us18",4.2,0.014286,62,NA,15.8,14.3,69.6441586211692
5304,3,"3156-11 AGL","1","Sutherland, Canada 2018","Sutherland, Canada","2018",2018-05-09,13,57,57,77,100,"Su18",4.63636363636364,0.017544,44,43,17.6,16.1,53.7302141922578
5542,3,"3156-11 AGL","2","Sutherland, Canada 2018","Sutherland, Canada","2018",2018-05-09,12,54,54,78,100,"Su18",4.09090909090909,0.018519,42,46,17.6,16.1,53.7302141922578
5882,3,"3156-11 AGL","3","Sutherland, Canada 2018","Sutherland, Canada","2018",2018-05-09,11,53,53,76,102,"Su18",3.90909090909091,0.018868,42,49,17.6,16.1,53.7302141922578
240,3,"3156-11 AGL","1","Sutherland, Canada 2016","Sutherland, Canada","2016",2016-04-27,13,57,57,76,104,"Su16",4,0.017544,44,47,16.7,15.9,57.5258304526688
484,3,"3156-11 AGL","2","Sutherland, Canada 2016","Sutherland, Canada","2016",2016-04-27,13,60,60,78,103,"Su16",4.6,0.016667,47,43,16.7,15.9,57.5258304526688
1072,3,"3156-11 AGL","3","Sutherland, Canada 2016","Sutherland, Canada","2016",2016-04-27,13,60,60,77,107,"Su16",4.6,0.016667,47,47,16.7,15.9,57.5258304526688
5159,3,"3156-11 AGL","1","Sutherland, Canada 2017","Sutherland, Canada","2017",2017-05-04,15,61,61,79,NA,"Su17",4.84,0.016393,46,NA,15.7,16.1,59.8994199918981
5722,3,"3156-11 AGL","2","Sutherland, Canada 2017","Sutherland, Canada","2017",2017-05-04,15,61,61,79,NA,"Su17",4.84,0.016393,46,NA,15.7,16.1,59.8994199918981
5789,3,"3156-11 AGL","3","Sutherland, Canada 2017","Sutherland, Canada","2017",2017-05-04,12,60,60,75,NA,"Su17",4.68,0.016667,48,NA,15.7,16.1,59.8994199918981
1386,3,"3156-11 AGL","1","Metaponto, Italy 2016","Metaponto, Italy","2016",2016-11-29,24,135,135,152,184,"It16",3.52631578947368,0.007407,111,49,10.6,10.9,135.170366668837
1470,3,"3156-11 AGL","2","Metaponto, Italy 2016","Metaponto, Italy","2016",2016-11-29,24,133,133,150,175,"It16",3.3859649122807,0.007519,109,42,10.6,10.9,135.170366668837
1954,3,"3156-11 AGL","3","Metaponto, Italy 2016","Metaponto, Italy","2016",2016-11-30,23,134,134,155,183,"It16",3.45614035087719,0.007463,111,49,10.6,10.9,135.170366668837
29,3,"3156-11 AGL","1","Metaponto, Italy 2017","Metaponto, Italy","2017",2017-11-28,23,146,146,163,174,"It17",4.50877192982456,0.006849,123,28,11.2,10.8,132.955110067471
443,3,"3156-11 AGL","2","Metaponto, Italy 2017","Metaponto, Italy","2017",2017-11-28,23,146,146,163,174,"It17",4.50877192982456,0.006849,123,28,11.2,10.8,132.955110067471
691,3,"3156-11 AGL","3","Metaponto, Italy 2017","Metaponto, Italy","2017",2017-11-29,24,145,145,159,177,"It17",4.43859649122807,0.006897,121,32,11.2,10.8,132.955110067471
1363,3,"3156-11 AGL","1","Rosthern, Canada 2016","Rosthern, Canada","2016",2016-05-06,8,54,54,74,103,"Ro16",4.75,0.018519,46,49,17.2,16.1,56.1831128854112
1554,3,"3156-11 AGL","2","Rosthern, Canada 2016","Rosthern, Canada","2016",2016-05-06,8,54,54,73,100,"Ro16",4.75,0.018519,46,46,17.2,16.1,56.1831128854112
1941,3,"3156-11 AGL","3","Rosthern, Canada 2016","Rosthern, Canada","2016",2016-05-06,9,55,55,72,98,"Ro16",5,0.018182,46,43,17.2,16.1,56.1831128854112
6125,3,"3156-11 AGL","1","Rosthern, Canada 2017","Rosthern, Canada","2017",2017-05-19,10,53,53,NA,NA,"Ro17",4.47826086956522,0.018868,43,NA,17.5,16.4,53.9035234323307
6430,3,"3156-11 AGL","2","Rosthern, Canada 2017","Rosthern, Canada","2017",2017-05-19,9,53,53,68,NA,"Ro17",4.47826086956522,0.018868,44,NA,17.5,16.4,53.9035234323307
6879,3,"3156-11 AGL","3","Rosthern, Canada 2017","Rosthern, Canada","2017",2017-05-19,9,52,52,72,NA,"Ro17",4.30434782608696,0.019231,43,NA,17.5,16.4,53.9035234323307
3363,3,"3156-11 AGL","1","Bardiya, Nepal 2016","Bardiya, Nepal","2016",2016-11-14,21,123,123,139,146,"Ne16",3.86315789473684,0.00813,102,23,19.2,11,87.9494475608387
3720,3,"3156-11 AGL","2","Bardiya, Nepal 2016","Bardiya, Nepal","2016",2016-11-16,27,122,122,142,146,"Ne16",3.82105263157895,0.008197,95,24,19.2,11,87.9494475608387
2037,3,"3156-11 AGL","1","Bardiya, Nepal 2017","Bardiya, Nepal","2017",2017-11-03,25,127,127,147,156,"Ne17",4.08256880733945,0.007874,102,29,19.4,10.8,90.0111594183782
2354,3,"3156-11 AGL","2","Bardiya, Nepal 2017","Bardiya, Nepal","2017",2017-11-04,10,128,128,153,162,"Ne17",4.11926605504587,0.007812,118,34,19.4,10.8,90.0111594183782
2904,3,"3156-11 AGL","3","Bardiya, Nepal 2017","Bardiya, Nepal","2017",2017-11-05,14,121,121,146,156,"Ne17",3.86238532110092,0.008264,107,35,19.4,10.8,90.0111594183782
3898,3,"3156-11 AGL","3","Bardiya, Nepal 2016","Bardiya, Nepal","2016",2016-11-16,25,122,122,NA,NA,"Ne16",3.82105263157895,0.008197,97,NA,19.2,11,87.9494475608387
4191,3,"3156-11 AGL","1","Cordoba, Spain 2016","Cordoba, Spain","2016",2016-12-13,25,127,127,132,156,"Sp16",4.5,0.007874,102,29,12.5,10.9,126.936927844133
4523,3,"3156-11 AGL","2","Cordoba, Spain 2016","Cordoba, Spain","2016",2016-12-13,25,119,119,128,156,"Sp16",3.7,0.008403,94,37,12.5,10.9,126.936927844133
4786,3,"3156-11 AGL","3","Cordoba, Spain 2016","Cordoba, Spain","2016",2016-12-13,25,114,114,127,143,"Sp16",3.2,0.008772,89,29,12.5,10.9,126.936927844133
2195,3,"3156-11 AGL","1","Cordoba, Spain 2017","Cordoba, Spain","2017",2017-12-14,21,130,130,140,156,"Sp17",4.18367346938776,0.007692,109,26,11.7,11.1,128.534664711449
2438,3,"3156-11 AGL","2","Cordoba, Spain 2017","Cordoba, Spain","2017",2017-12-14,21,131,131,140,158,"Sp17",4.26530612244898,0.007634,110,27,11.7,11.1,128.534664711449
2783,3,"3156-11 AGL","3","Cordoba, Spain 2017","Cordoba, Spain","2017",2017-12-14,21,130,130,138,154,"Sp17",4.18367346938776,0.007692,109,24,11.7,11.1,128.534664711449
5101,3,"3156-11 AGL","1","Bhopal, India 2016","Bhopal, India","2016",2016-12-04,6,NA,86,NA,NA,"In16",5,0.011628,NA,NA,17.6,10.9,109.60053284004
5572,3,"3156-11 AGL","2","Bhopal, India 2016","Bhopal, India","2016",2016-12-04,6,NA,86,NA,NA,"In16",5,0.011628,NA,NA,17.6,10.9,109.60053284004
5997,3,"3156-11 AGL","3","Bhopal, India 2016","Bhopal, India","2016",2016-12-04,7,NA,86,NA,NA,"In16",5,0.011628,NA,NA,17.6,10.9,109.60053284004
1200,3,"3156-11 AGL","1","Bhopal, India 2017","Bhopal, India","2017",2017-11-09,6,NA,85,NA,NA,"In17",5,0.011765,NA,NA,20.6,10.7,105.774194283766
1425,3,"3156-11 AGL","2","Bhopal, India 2017","Bhopal, India","2017",2017-11-09,4,NA,85,NA,NA,"In17",5,0.011765,NA,NA,20.6,10.7,105.774194283766
1969,3,"3156-11 AGL","3","Bhopal, India 2017","Bhopal, India","2017",2017-11-09,7,NA,85,NA,NA,"In17",5,0.011765,NA,NA,20.6,10.7,105.774194283766
